bundle,span_short,span_long,vol_window,forecast_scale,cap,weight,tau,capital,idm,multiplier,fx,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,56717.6513671875,1.1779645692195215,0.0,1.2594584151872064,100000.0,156717.6513671875
2,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,2626.15234375,0.0598295202568402,0.0,1.0131030034090986,100000.0,102626.15234375
3,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,-12071.656494140625,-0.3298570964644893,0.0,0.9369704358097068,100000.0,87928.34350585938
4,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,4911.1962890625,0.12103598148298111,0.0,1.026597588578173,100000.0,104911.1962890625
5,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,7184.86083984375,0.18546304332810276,0.0,1.0375760361101474,100000.0,107184.86083984375
6,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,-9976.94091796875,-0.24658961689072034,0.0,0.9466173085348716,100000.0,90023.05908203125
7,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,2168.3544921875,0.05910090412326793,0.0,1.0127627403017052,100000.0,102168.3544921875
8,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,29647.6513671875,0.7040091762035261,0.0,1.1631831260733532,100000.0,129647.6513671875
9,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,-16659.9560546875,-0.47627968469645965,0.0,0.9093002059962748,100000.0,83340.0439453125
10,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,-9550.3076171875,-0.22256611882217334,0.0,0.9484061184303962,100000.0,90449.6923828125
