,SP500 (ewmac),SP500 (trend_breakout),DAX (ewmac),DAX (trend_breakout),FTSE (ewmac),FTSE (trend_breakout),NASDAQ (ewmac),NASDAQ (trend_breakout),DJ30 (ewmac),DJ30 (trend_breakout),NG (ewmac),NG (trend_breakout)
SP500 (ewmac),1.0,0.7588,0.3836,0.3673,0.054,0.0853,0.8403,0.6794,0.0982,0.7359,0.0166,0.0075
SP500 (trend_breakout),0.7588,1.0,0.3106,0.3272,0.0172,0.085,0.6754,0.8075,0.082,0.6714,0.0103,0.0074
DAX (ewmac),0.3836,0.3106,1.0,0.7835,0.086,0.1071,0.3857,0.3074,0.0118,0.3381,0.0646,0.028
DAX (trend_breakout),0.3673,0.3272,0.7835,1.0,0.0607,0.0788,0.3553,0.2796,0.0122,0.3728,0.052,0.0315
FTSE (ewmac),0.054,0.0172,0.086,0.0607,1.0,0.0214,0.057,0.017,0.0025,0.0668,0.0066,0.0049
FTSE (trend_breakout),0.0853,0.085,0.1071,0.0788,0.0214,1.0,0.0736,0.0655,0.0029,0.0928,0.0129,0.0081
NASDAQ (ewmac),0.8403,0.6754,0.3857,0.3553,0.057,0.0736,1.0,0.801,0.0759,0.6138,0.0033,0.0041
NASDAQ (trend_breakout),0.6794,0.8075,0.3074,0.2796,0.017,0.0655,0.801,1.0,0.0686,0.5147,-0.0034,0.0107
DJ30 (ewmac),0.0982,0.082,0.0118,0.0122,0.0025,0.0029,0.0759,0.0686,1.0,0.1468,0.0006,-0.0002
DJ30 (trend_breakout),0.7359,0.6714,0.3381,0.3728,0.0668,0.0928,0.6138,0.5147,0.1468,1.0,0.0221,-0.0034
NG (ewmac),0.0166,0.0103,0.0646,0.052,0.0066,0.0129,0.0033,-0.0034,0.0006,0.0221,1.0,0.154
NG (trend_breakout),0.0075,0.0074,0.028,0.0315,0.0049,0.0081,0.0041,0.0107,-0.0002,-0.0034,0.154,1.0
