instrument,symbol,strategy,forecast_scale
DAX|ewmac,DAX,ewmac,3.827977443770395
DAX|trend_breakout,DAX,trend_breakout,0.963851032576067
DJ30|ewmac,DJ30,ewmac,3.863340131954001
DJ30|trend_breakout,DJ30,trend_breakout,1.060643538146104
FTSE|ewmac,FTSE,ewmac,6.56359136670084
FTSE|trend_breakout,FTSE,trend_breakout,2.1425530596490407
NASDAQ|ewmac,NASDAQ,ewmac,3.699838418666146
NASDAQ|trend_breakout,NASDAQ,trend_breakout,0.8838774541740265
SP500|ewmac,SP500,ewmac,3.327909283564681
SP500|trend_breakout,SP500,trend_breakout,0.9185002104789888
