bundle,span_short,span_long,vol_window,cap,tau,idm,multiplier,fx,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,16,80,32,20,0.2,1.0,5.0,1.0,28288.656005859375,0.5900290966870662,0.0,1.1442785894336367,100000.0,128288.65600585938
2,16,80,32,20,0.2,1.0,5.0,1.0,1176.2490844726526,0.036111022451841605,0.0,1.0072454579466839,100000.0,101176.24908447266
3,20,80,32,20,0.2,1.0,5.0,1.0,7516.639404296864,0.16666757780632976,0.0,1.035085611572304,100000.0,107516.63940429688
4,20,80,32,20,0.2,1.0,5.0,1.0,17679.790649414062,0.4493664586183671,0.0,1.1043997518372288,100000.0,117679.79064941406
5,20,80,32,20,0.2,1.0,5.0,1.0,6018.2232666015625,0.13446896953672843,0.0,1.0283042094341166,100000.0,106018.22326660156
6,16,80,32,20,0.2,1.0,5.0,1.0,-25638.564453125,-0.5653499168511792,0.0,0.889552062908176,100000.0,74361.435546875
7,16,80,32,20,0.2,1.0,5.0,1.0,-29731.896362304688,-1.2782419794387188,0.0,0.7540110743532111,100000.0,70268.10363769531
8,20,80,32,20,0.2,1.0,5.0,1.0,64988.162841796875,1.2105863692598082,0.0,1.3063941078742147,100000.0,164988.16284179688
9,20,80,32,20,0.2,1.0,5.0,1.0,-23699.33837890625,-0.5802453319705694,0.0,0.8572460086415199,100000.0,76300.66162109375
10,20,80,32,20,0.2,1.0,5.0,1.0,32993.10791015625,0.7114228280844563,0.0,1.1783579260987047,100000.0,132993.10791015625
